"movie_titles","genre","year_of_release","length_minutes","rating","review_time","review_day","review_month","review_season","review_year","review","character_count","word_count","user_age","gender","education_level","work_status","number_of_children_at_home"
"Whispering Whims","Drama",2022,109,2.88,02:49:23,21,8,"summer",2022,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"City of Stardust","Thriller",2010,72,5,05:29:16,13,12,"winter",2013,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Whispers in the Wind","Sci-Fi",2018,77,4.45,02:29:08,1,1,"winter",2021,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"Legends of Lyria","Thriller",2007,113,3.02,23:30:40,27,6,"summer",2009,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Stargazer's Serenade","Comedy",2021,94,4.41,12:42:07,11,6,"summer",2021,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Dreamer's Dawn","Sci-Fi",2002,110,2.35,12:28:07,23,10,"fall",2003,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Enigma's Embrace","Action",2002,97,3.74,09:59:32,24,3,"spring",2005,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Enigma's Embrace","Action",2002,97,3.88,12:17:44,26,6,"summer",2003,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"The Enchanted Alchemist","Action",2008,91,3.6,20:55:07,2,11,"fall",2010,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"Aetheria Rising","Sci-Fi",2013,99,3.42,02:05:18,28,9,"fall",2015,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Chronicles of Chronos","Comedy",2005,112,3.13,16:59:44,29,7,"summer",2007,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"The Sapphire Heist","Sci-Fi",2010,105,2.69,05:23:10,15,12,"winter",2010,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"The Timekeeper's Tale","Drama",2004,112,2.72,04:50:42,10,7,"summer",2006,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Whispering Wonders","Action",2017,114,2.26,09:43:26,22,2,"winter",2017,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Solstice Sonata","Drama",2003,104,3.93,01:16:15,9,2,"winter",2003,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"The Last Wanderer","Drama",2017,83,4.78,19:06:08,10,11,"fall",2019,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"The Enchanted Cipher","Comedy",2021,80,4.29,19:17:30,11,4,"spring",2022,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Moonlit Masquerade","Thriller",2003,92,3.94,03:36:13,10,12,"winter",2004,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Galaxy's Edge","Comedy",2007,82,4.82,09:49:23,11,1,"winter",2007,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Starlight Serenade","Comedy",2022,117,2.33,16:27:18,4,5,"spring",2022,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Stargazer's Serenade","Comedy",2021,94,3.06,14:39:22,21,4,"spring",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"The Enchanted Alchemist","Action",2008,91,3.96,11:50:04,26,3,"spring",2010,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Odyssey of Origin","Comedy",2011,81,4.39,23:54:09,10,3,"spring",2014,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"The Enchanted Cipher","Comedy",2021,80,5,08:32:45,12,5,"spring",2022,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"The Enchanted Empyrean","Comedy",2010,113,3.06,16:52:47,14,1,"winter",2010,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Mystical Moonrise","Thriller",2013,123,1.33,18:30:20,10,1,"winter",2013,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"The Enchanted Cipher","Comedy",2021,80,5,00:32:39,4,11,"fall",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"Aetheria Rising","Sci-Fi",2013,99,3.78,22:51:23,3,7,"summer",2013,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Dreamer's Dawn","Sci-Fi",2002,110,2.3,16:13:23,13,10,"fall",2003,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Midnight Monarchs","Comedy",2020,110,2.68,16:33:32,23,8,"summer",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Moonlit Melodies","Action",2006,110,3.21,17:06:47,12,7,"summer",2006,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"The Enchanted Alchemist","Action",2008,91,3.82,21:51:06,17,1,"winter",2011,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"The Lost Horizon","Action",2022,115,2.36,22:07:02,10,3,"spring",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"Whispering Whims","Drama",2022,109,3.42,17:02:23,25,8,"summer",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Aetheria Rising","Sci-Fi",2013,99,3.02,00:35:36,25,7,"summer",2015,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Odyssey of Origin","Comedy",2011,81,4.93,03:56:50,11,9,"fall",2014,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"The Last Wanderer","Drama",2017,83,4.81,03:33:16,1,9,"fall",2019,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Oracle's Quest","Thriller",2002,88,4.12,17:55:06,10,9,"fall",2002,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Whispering Wonders","Action",2017,114,1.46,19:10:12,9,5,"spring",2019,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"The Arcane Masquerade","Comedy",2007,109,2.52,12:36:30,7,7,"summer",2007,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Moonlit Melodies","Action",2006,110,3.62,15:56:30,22,5,"spring",2009,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Celestial Secrets","Action",2007,86,4.33,15:44:50,30,4,"spring",2010,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Odyssey of Origin","Comedy",2011,81,4.3,01:47:39,26,9,"fall",2013,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Odyssey of Origin","Comedy",2011,81,5,12:10:06,16,8,"summer",2014,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"The Enchanted Empyrean","Comedy",2010,113,1.75,06:24:10,12,9,"fall",2013,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"The Timekeeper's Tale","Drama",2004,112,2.5,04:49:30,1,12,"winter",2007,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Echoes of Enchantment","Thriller",2009,113,2.62,15:55:49,5,10,"fall",2011,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Galaxy's Edge","Comedy",2007,82,4.31,10:30:28,2,10,"fall",2009,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"Aetheria Rising","Sci-Fi",2013,99,3.47,09:50:42,12,6,"summer",2015,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"The Arcane Masquerade","Comedy",2007,109,2.51,04:45:14,7,2,"winter",2008,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Celestial Serenity","Action",2019,111,3.1,08:11:45,26,9,"fall",2020,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"The Serendipity Society","Comedy",2007,132,1.58,20:44:08,25,5,"spring",2008,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Odyssey of Origin","Comedy",2011,81,4.99,05:06:29,4,6,"summer",2011,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"The Lost Horizon","Action",2022,115,2.5,17:21:21,7,10,"fall",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"The Enchanted Alchemist","Action",2008,91,4.29,07:04:47,25,7,"summer",2008,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Oracle's Quest","Thriller",2002,88,3.92,12:45:06,18,4,"spring",2004,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Whispers in the Wind","Sci-Fi",2018,77,5,03:22:44,14,5,"spring",2019,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"The Enchanted Alchemist","Action",2008,91,3.19,14:42:33,18,9,"fall",2008,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"The Serendipity Society","Comedy",2007,132,1.39,01:24:44,21,6,"summer",2007,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Echoes of Enchantment","Thriller",2009,113,2.56,07:36:34,15,8,"summer",2010,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"The Last Wanderer","Drama",2017,83,4.89,14:49:01,10,3,"spring",2019,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"The Arcane Masquerade","Comedy",2007,109,2.61,19:01:36,9,1,"winter",2009,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Midnight Mirage","Drama",2017,112,2.61,16:36:31,9,2,"winter",2020,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"The Crimson Crown","Comedy",2002,92,3.35,21:49:17,22,8,"summer",2002,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Voyage to Lumos","Sci-Fi",2006,101,2.33,22:56:35,11,7,"summer",2008,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"The Arcane Masquerade","Comedy",2007,109,2.74,07:41:26,29,11,"fall",2009,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Timeless Odyssey","Sci-Fi",2001,73,4.45,23:21:29,27,7,"summer",2001,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Echoes of Eternity","Drama",2004,110,2.86,11:07:50,15,4,"spring",2007,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Timeless Odyssey","Sci-Fi",2001,73,5,10:35:20,18,11,"fall",2002,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"The Enchanted Alchemist","Action",2008,91,4.65,00:35:04,12,10,"fall",2011,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Galaxy's Edge","Comedy",2007,82,4.84,21:03:25,29,9,"fall",2009,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"The Enchanted Alchemist","Action",2008,91,4.59,04:14:00,12,11,"fall",2008,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"Songbirds and Shadows","Comedy",2022,105,3.89,08:13:35,10,7,"summer",2022,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Legends of Lyria","Thriller",2007,113,2.66,19:57:12,22,2,"winter",2009,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Oracle's Quest","Thriller",2002,88,4.79,04:18:00,9,7,"summer",2002,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"The Sapphire Heist","Sci-Fi",2010,105,3.17,23:27:54,4,10,"fall",2010,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Echoes of Enchantment","Thriller",2009,113,2.98,05:33:44,22,6,"summer",2011,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Mystical Moonrise","Thriller",2013,123,1.05,06:51:42,31,10,"fall",2014,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Whispering Meadows","Comedy",2018,95,3.79,21:38:58,25,7,"summer",2018,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Midnight Monarchs","Comedy",2020,110,2.47,18:58:11,23,4,"spring",2022,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
